Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POST,,,,17-12-2024 06:23:47,17-12-2024 06:23:49,2.693s,PASSED
,,,,,,,
Test Cases/CreateUser,,,,17-12-2024 06:23:47,17-12-2024 06:23:48,0.874s,PASSED
"sendRequest(findTestObject(""API/POST/CreateUser""))",,,,17-12-2024 06:23:47,17-12-2024 06:23:48,0.788s,PASSED
,,,,,,,
Test Cases/UpdateUser,,,,17-12-2024 06:23:48,17-12-2024 06:23:48,0.509s,PASSED
"sendRequest(findTestObject(""API/POST/UpdateUser""))",,,,17-12-2024 06:23:48,17-12-2024 06:23:48,0.493s,PASSED
,,,,,,,
Test Cases/PatchUser,,,,17-12-2024 06:23:48,17-12-2024 06:23:49,0.915s,PASSED
"sendRequest(findTestObject(""API/POST/PatchUser""))",,,,17-12-2024 06:23:48,17-12-2024 06:23:49,0.891s,PASSED
,,,,,,,
Test Cases/DeleteUser,,,,17-12-2024 06:23:49,17-12-2024 06:23:49,0.337s,PASSED
"sendRequest(findTestObject(""API/POST/DeleteUser""))",,,,17-12-2024 06:23:49,17-12-2024 06:23:49,0.312s,PASSED
